Patient	cluster_id	sample_id	cellular_prevalence	cellular_prevalence_std	upper_95CI	lower_95CI	clonal
Patient413	3	Primary-v5	0.6313	0.0486	0.7285	0.5341	FALSE
Patient413	3	Primary-v6	0.6052	0.0389	0.683	0.5274	FALSE
Patient413	3	Primary-v7	0.8216	0.0371	0.8958	0.7474	FALSE
Patient413	3	Primary-v8	0.7248	0.0394	0.8036	0.646	FALSE
Patient413	3	Primary-v9	0.1679	0.0291	0.2261	0.1097	FALSE
Patient413	4	Primary-v1	0.8762	0.0555	0.9872	0.7652	FALSE
Patient413	4	Primary-v10	0.8701	0.0566	0.9833	0.7569	FALSE
Patient413	4	Primary-v2	0.7303	0.065	0.8603	0.6003	FALSE
Patient413	4	Primary-v3	0.766	0.0564	0.8788	0.6532	FALSE
Patient413	4	Primary-v4	0.8129	0.0534	0.9197	0.7061	FALSE
Patient413	4	Primary-v5	0.706	0.0562	0.8184	0.5936	FALSE
Patient413	4	Primary-v6	0.5049	0.0533	0.6115	0.3983	FALSE
Patient413	4	Primary-v7	0.7449	0.0612	0.8673	0.6225	FALSE
Patient413	4	Primary-v8	0.7325	0.0592	0.8509	0.6141	FALSE
Patient413	4	Primary-v9	0.1557	0.0304	0.2165	0.0949	FALSE
Patient413	5	Primary-v1	0.8755	0.0127	0.9009	0.8501	TRUE
Patient413	5	Primary-v10	0.8013	0.015	0.8313	0.7713	TRUE
Patient413	5	Primary-v2	0.6517	0.0151	0.6819	0.6215	TRUE
Patient413	5	Primary-v3	0.7976	0.0141	0.8258	0.7694	TRUE
Patient413	5	Primary-v4	0.7515	0.0154	0.7823	0.7207	TRUE
Patient413	5	Primary-v5	0.7059	0.0139	0.7337	0.6781	TRUE
Patient413	5	Primary-v6	0.667	0.0153	0.6976	0.6364	TRUE
Patient413	5	Primary-v7	0.733	0.0147	0.7624	0.7036	TRUE
Patient413	5	Primary-v8	0.7563	0.0151	0.7865	0.7261	TRUE
Patient413	5	Primary-v9	0.4299	0.0138	0.4575	0.4023	TRUE
Patient413	6	Primary-v1	0	1e-04	2e-04	-2e-04	FALSE
Patient413	6	Primary-v10	0	0	0	0	FALSE
Patient413	6	Primary-v2	0	1e-04	2e-04	-2e-04	FALSE
Patient413	6	Primary-v3	0.3114	0.0198	0.351	0.2718	FALSE
Patient413	6	Primary-v4	0.0078	0.0042	0.0162	-6e-04	FALSE
Patient413	6	Primary-v5	0	1e-04	2e-04	-2e-04	FALSE
Patient413	6	Primary-v6	0	1e-04	2e-04	-2e-04	FALSE
Patient413	6	Primary-v7	0	2e-04	4e-04	-4e-04	FALSE
Patient413	6	Primary-v8	0.0104	0.002	0.0144	0.0064	FALSE
Patient413	6	Primary-v9	0	1e-04	2e-04	-2e-04	FALSE
Patient413	7	Primary-v1	0.5043	0.026	0.5563	0.4523	FALSE
Patient413	7	Primary-v10	0	1e-04	2e-04	-2e-04	FALSE
Patient413	7	Primary-v2	0.1217	0.017	0.1557	0.0877	FALSE
Patient413	7	Primary-v3	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient413	7	Primary-v4	0.0023	0.0042	0.0107	-0.0061	FALSE
Patient413	7	Primary-v5	0	2e-04	4e-04	-4e-04	FALSE
Patient413	7	Primary-v6	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient413	7	Primary-v7	0.0429	0.0103	0.0635	0.0223	FALSE
Patient413	7	Primary-v8	4e-04	0.0019	0.0042	-0.0034	FALSE
Patient413	7	Primary-v9	0	4e-04	8e-04	-8e-04	FALSE
Patient413	8	Primary-v1	0.0346	0.0059	0.0464	0.0228	FALSE
Patient413	8	Primary-v10	0	0	0	0	FALSE
Patient413	8	Primary-v2	0.0145	0.0052	0.0249	0.0041	FALSE
Patient413	8	Primary-v3	0	0	0	0	FALSE
Patient413	8	Primary-v4	0.3549	0.0167	0.3883	0.3215	FALSE
Patient413	8	Primary-v5	0	2e-04	4e-04	-4e-04	FALSE
Patient413	8	Primary-v6	0	0	0	0	FALSE
Patient413	8	Primary-v7	0	0	0	0	FALSE
Patient413	8	Primary-v8	0	0	0	0	FALSE
Patient413	8	Primary-v9	0	0	0	0	FALSE
Patient413	9	Primary-v1	0	4e-04	8e-04	-8e-04	FALSE
Patient413	9	Primary-v10	0	1e-04	2e-04	-2e-04	FALSE
Patient413	9	Primary-v2	0.0211	0.0064	0.0339	0.0083	FALSE
Patient413	9	Primary-v3	0	0	0	0	FALSE
Patient413	9	Primary-v4	0	0	0	0	FALSE
Patient413	9	Primary-v5	0.0205	0.0055	0.0315	0.0095	FALSE
Patient413	9	Primary-v6	0	4e-04	8e-04	-8e-04	FALSE
Patient413	9	Primary-v7	0.013	0.0047	0.0224	0.0036	FALSE
Patient413	9	Primary-v8	0.0119	0.0039	0.0197	0.0041	FALSE
Patient413	9	Primary-v9	0.0326	0.007	0.0466	0.0186	FALSE
Patient454	1	Primary-v1	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient454	1	Primary-v10	0.2924	0.0309	0.3542	0.2306	FALSE
Patient454	1	Primary-v2	0.2253	0.027	0.2793	0.1713	FALSE
Patient454	1	Primary-v3	0.0114	0.0044	0.0202	0.0026	FALSE
Patient454	1	Primary-v4	0	7e-04	0.0014	-0.0014	FALSE
Patient454	1	Primary-v5	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient454	1	Primary-v6	0.0091	0.0053	0.0197	-0.0015	FALSE
Patient454	1	Primary-v7	0.001	0.0032	0.0074	-0.0054	FALSE
Patient454	1	Primary-v8	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient454	1	Primary-v9	0.0259	0.0107	0.0473	0.0045	FALSE
Patient454	2	Primary-v1	0.004	0.0075	0.019	-0.011	FALSE
Patient454	2	Primary-v10	0.0036	0.0071	0.0178	-0.0106	FALSE
Patient454	2	Primary-v2	0.0029	0.0062	0.0153	-0.0095	FALSE
Patient454	2	Primary-v3	0.2551	0.053	0.3611	0.1491	FALSE
Patient454	2	Primary-v4	0.0251	0.0136	0.0523	-0.0021	FALSE
Patient454	2	Primary-v5	0.0037	0.007	0.0177	-0.0103	FALSE
Patient454	2	Primary-v6	0.0045	0.0082	0.0209	-0.0119	FALSE
Patient454	2	Primary-v7	0.0048	0.0086	0.022	-0.0124	FALSE
Patient454	2	Primary-v8	0.0038	0.0073	0.0184	-0.0108	FALSE
Patient454	2	Primary-v9	0.003	0.0063	0.0156	-0.0096	FALSE
Patient454	3	Primary-v1	0.0117	0.0074	0.0265	-0.0031	FALSE
Patient454	3	Primary-v10	4e-04	0.0021	0.0046	-0.0038	FALSE
Patient454	3	Primary-v2	0.9276	0.0424	1.0124	0.8428	FALSE
Patient454	3	Primary-v3	0.0159	0.0074	0.0307	0.0011	FALSE
Patient454	3	Primary-v4	0.0087	0.0064	0.0215	-0.0041	FALSE
Patient454	3	Primary-v5	0.0029	0.0052	0.0133	-0.0075	FALSE
Patient454	3	Primary-v6	0.0129	0.0095	0.0319	-0.0061	FALSE
Patient454	3	Primary-v7	0.0053	0.0069	0.0191	-0.0085	FALSE
Patient454	3	Primary-v8	0.0373	0.0132	0.0637	0.0109	FALSE
Patient454	3	Primary-v9	4e-04	0.0021	0.0046	-0.0038	FALSE
Patient454	4	Primary-v1	0.9192	0.0136	0.9464	0.892	TRUE
Patient454	4	Primary-v10	0.8898	0.0128	0.9154	0.8642	TRUE
Patient454	4	Primary-v2	0.9162	0.013	0.9422	0.8902	TRUE
Patient454	4	Primary-v3	0.8345	0.011	0.8565	0.8125	TRUE
Patient454	4	Primary-v4	0.7718	0.0123	0.7964	0.7472	TRUE
Patient454	4	Primary-v5	0.8338	0.013	0.8598	0.8078	TRUE
Patient454	4	Primary-v6	0.873	0.0138	0.9006	0.8454	TRUE
Patient454	4	Primary-v7	0.9141	0.0144	0.9429	0.8853	TRUE
Patient454	4	Primary-v8	0.0402	0.0019	0.044	0.0364	TRUE
Patient454	4	Primary-v9	0.6278	0.0119	0.6516	0.604	TRUE
Patient454	5	Primary-v1	0.0033	0.0068	0.0169	-0.0103	FALSE
Patient454	5	Primary-v10	0.0029	0.0062	0.0153	-0.0095	FALSE
Patient454	5	Primary-v2	0.1139	0.03	0.1739	0.0539	FALSE
Patient454	5	Primary-v3	0.814	0.066	0.946	0.682	FALSE
Patient454	5	Primary-v4	0.2812	0.0464	0.374	0.1884	FALSE
Patient454	5	Primary-v5	0.0029	0.0061	0.0151	-0.0093	FALSE
Patient454	5	Primary-v6	0.8066	0.0762	0.959	0.6542	FALSE
Patient454	5	Primary-v7	0.0045	0.0081	0.0207	-0.0117	FALSE
Patient454	5	Primary-v8	0.0032	0.0065	0.0162	-0.0098	FALSE
Patient454	5	Primary-v9	0.0022	0.0053	0.0128	-0.0084	FALSE
Patient454	6	Primary-v1	0.4793	0.0575	0.5943	0.3643	FALSE
Patient454	6	Primary-v10	0.7887	0.0595	0.9077	0.6697	FALSE
Patient454	6	Primary-v2	0.0021	0.0051	0.0123	-0.0081	FALSE
Patient454	6	Primary-v3	0.0014	0.0041	0.0096	-0.0068	FALSE
Patient454	6	Primary-v4	0.1781	0.035	0.2481	0.1081	FALSE
Patient454	6	Primary-v5	0.6882	0.0598	0.8078	0.5686	FALSE
Patient454	6	Primary-v6	0.0306	0.0151	0.0608	0.000399999999999998	FALSE
Patient454	6	Primary-v7	0.859	0.0638	0.9866	0.7314	FALSE
Patient454	6	Primary-v8	0.0235	0.0125	0.0485	-0.0015	FALSE
Patient454	6	Primary-v9	0.4705	0.0511	0.5727	0.3683	FALSE
Patient454	7	Primary-v1	0.0277	0.0101	0.0479	0.0075	FALSE
Patient454	7	Primary-v10	0.0054	0.0058	0.017	-0.0062	FALSE
Patient454	7	Primary-v2	4e-04	0.002	0.0044	-0.0036	FALSE
Patient454	7	Primary-v3	0.0149	0.0062	0.0273	0.0025	FALSE
Patient454	7	Primary-v4	0.1041	0.0204	0.1449	0.0633	FALSE
Patient454	7	Primary-v5	0.0125	0.0059	0.0243	0.000700000000000001	FALSE
Patient454	7	Primary-v6	0.0044	0.006	0.0164	-0.0076	FALSE
Patient454	7	Primary-v7	0.0176	0.0112	0.04	-0.0048	FALSE
Patient454	7	Primary-v8	0.0261	0.0108	0.0477	0.0045	FALSE
Patient454	7	Primary-v9	0.0155	0.0068	0.0291	0.0019	FALSE
Patient454	8	Primary-v1	0.0063	0.0074	0.0211	-0.0085	FALSE
Patient454	8	Primary-v10	0.005	0.0066	0.0182	-0.0082	FALSE
Patient454	8	Primary-v2	0.0011	0.0035	0.0081	-0.0059	FALSE
Patient454	8	Primary-v3	0.0155	0.01	0.0355	-0.0045	FALSE
Patient454	8	Primary-v4	0.0149	0.0076	0.0301	-3e-04	FALSE
Patient454	8	Primary-v5	0.0014	0.0039	0.0092	-0.0064	FALSE
Patient454	8	Primary-v6	0.2982	0.0431	0.3844	0.212	FALSE
Patient454	8	Primary-v7	0.0022	0.0052	0.0126	-0.0082	FALSE
Patient454	8	Primary-v8	0.0012	0.0037	0.0086	-0.0062	FALSE
Patient454	8	Primary-v9	0.01	0.0075	0.025	-0.005	FALSE
Patient455	1	Primary-v1	0	1e-04	2e-04	-2e-04	FALSE
Patient455	1	Primary-v10	0	3e-04	6e-04	-6e-04	FALSE
Patient455	1	Primary-v2	0	1e-04	2e-04	-2e-04	FALSE
Patient455	1	Primary-v3	0.4894	0.0223	0.534	0.4448	FALSE
Patient455	1	Primary-v4	0.5516	0.0247	0.601	0.5022	FALSE
Patient455	1	Primary-v5	0.5657	0.0232	0.6121	0.5193	FALSE
Patient455	1	Primary-v6	0.3711	0.0223	0.4157	0.3265	FALSE
Patient455	1	Primary-v7	0.7317	0.0251	0.7819	0.6815	FALSE
Patient455	1	Primary-v8	0.6896	0.0282	0.746	0.6332	FALSE
Patient455	1	Primary-v9	0.5872	0.0247	0.6366	0.5378	FALSE
Patient455	2	Primary-v1	0.2486	0.0227	0.294	0.2032	FALSE
Patient455	2	Primary-v10	0.2021	0.0203	0.2427	0.1615	FALSE
Patient455	2	Primary-v2	0.1762	0.0197	0.2156	0.1368	FALSE
Patient455	2	Primary-v3	0.0054	0.0051	0.0156	-0.0048	FALSE
Patient455	2	Primary-v4	0	5e-04	0.001	-0.001	FALSE
Patient455	2	Primary-v5	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient455	2	Primary-v6	2e-04	0.0014	0.003	-0.0026	FALSE
Patient455	2	Primary-v7	0	3e-04	6e-04	-6e-04	FALSE
Patient455	2	Primary-v8	0	5e-04	0.001	-0.001	FALSE
Patient455	2	Primary-v9	0.0035	0.0049	0.0133	-0.0063	FALSE
Patient455	3	Primary-v1	0.2828	0.0567	0.3962	0.1694	FALSE
Patient455	3	Primary-v10	0.2082	0.0493	0.3068	0.1096	FALSE
Patient455	3	Primary-v2	0.2231	0.0513	0.3257	0.1205	FALSE
Patient455	3	Primary-v3	0.2324	0.068	0.3684	0.0964	FALSE
Patient455	3	Primary-v4	0.5276	0.0751	0.6778	0.3774	FALSE
Patient455	3	Primary-v5	0.4928	0.0718	0.6364	0.3492	FALSE
Patient455	3	Primary-v6	0.3568	0.0616	0.48	0.2336	FALSE
Patient455	3	Primary-v7	0.1187	0.045	0.2087	0.0287	FALSE
Patient455	3	Primary-v8	0.2376	0.0703	0.3782	0.097	FALSE
Patient455	3	Primary-v9	0.5171	0.0709	0.6589	0.3753	FALSE
Patient455	4	Primary-v1	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient455	4	Primary-v10	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient455	4	Primary-v2	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient455	4	Primary-v3	0.3266	0.027	0.3806	0.2726	FALSE
Patient455	4	Primary-v4	0.5696	0.036	0.6416	0.4976	FALSE
Patient455	4	Primary-v5	1e-04	0.001	0.0021	-0.0019	FALSE
Patient455	4	Primary-v6	0.0185	0.0069	0.0323	0.0047	FALSE
Patient455	4	Primary-v7	1e-04	7e-04	0.0015	-0.0013	FALSE
Patient455	4	Primary-v8	0.6238	0.0367	0.6972	0.5504	FALSE
Patient455	4	Primary-v9	0.0158	0.0067	0.0292	0.0024	FALSE
Patient455	5	Primary-v1	0.0011	0.0032	0.0075	-0.0053	FALSE
Patient455	5	Primary-v10	0.0073	0.0045	0.0163	-0.0017	FALSE
Patient455	5	Primary-v2	0	0	0	0	FALSE
Patient455	5	Primary-v3	0	0	0	0	FALSE
Patient455	5	Primary-v4	0.0405	0.0073	0.0551	0.0259	FALSE
Patient455	5	Primary-v5	0.0019	0.0039	0.0097	-0.0059	FALSE
Patient455	5	Primary-v6	0.0145	0.0053	0.0251	0.0039	FALSE
Patient455	5	Primary-v7	0	0	0	0	FALSE
Patient455	5	Primary-v8	0.0314	0.0071	0.0456	0.0172	FALSE
Patient455	5	Primary-v9	0	2e-04	4e-04	-4e-04	FALSE
Patient455	6	Primary-v1	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient455	6	Primary-v10	0.0012	0.0033	0.0078	-0.0054	FALSE
Patient455	6	Primary-v2	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient455	6	Primary-v3	0.1712	0.0202	0.2116	0.1308	FALSE
Patient455	6	Primary-v4	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient455	6	Primary-v5	0.5615	0.0337	0.6289	0.4941	FALSE
Patient455	6	Primary-v6	0.1998	0.0209	0.2416	0.158	FALSE
Patient455	6	Primary-v7	0.7493	0.0341	0.8175	0.6811	FALSE
Patient455	6	Primary-v8	5e-04	0.0023	0.0051	-0.0041	FALSE
Patient455	6	Primary-v9	0.468	0.0319	0.5318	0.4042	FALSE
Patient455	7	Primary-v1	0.1382	0.043	0.2242	0.0522	FALSE
Patient455	7	Primary-v10	0.2248	0.0533	0.3314	0.1182	FALSE
Patient455	7	Primary-v2	0.1904	0.0489	0.2882	0.0926	FALSE
Patient455	7	Primary-v3	0.1912	0.0613	0.3138	0.0686	FALSE
Patient455	7	Primary-v4	0.6218	0.0828	0.7874	0.4562	FALSE
Patient455	7	Primary-v5	0.0057	0.0101	0.0259	-0.0145	FALSE
Patient455	7	Primary-v6	0.1327	0.0485	0.2297	0.0357	FALSE
Patient455	7	Primary-v7	0.0044	0.0085	0.0214	-0.0126	FALSE
Patient455	7	Primary-v8	0.7137	0.0859	0.8855	0.5419	FALSE
Patient455	7	Primary-v9	0.0555	0.03	0.1155	-0.0045	FALSE
Patient455	8	Primary-v1	0.2222	0.0129	0.248	0.1964	TRUE
Patient455	8	Primary-v10	0.2217	0.0122	0.2461	0.1973	TRUE
Patient455	8	Primary-v2	0.186	0.0115	0.209	0.163	TRUE
Patient455	8	Primary-v3	0.5298	0.0174	0.5646	0.495	TRUE
Patient455	8	Primary-v4	0.4934	0.017	0.5274	0.4594	TRUE
Patient455	8	Primary-v5	0.5235	0.0178	0.5591	0.4879	TRUE
Patient455	8	Primary-v6	0.3299	0.0154	0.3607	0.2991	TRUE
Patient455	8	Primary-v7	0.7471	0.0194	0.7859	0.7083	TRUE
Patient455	8	Primary-v8	0.6923	0.0212	0.7347	0.6499	TRUE
Patient455	8	Primary-v9	0.5227	0.0178	0.5583	0.4871	TRUE
Patient455	9	Primary-v1	0	7e-04	0.0014	-0.0014	FALSE
Patient455	9	Primary-v10	0	6e-04	0.0012	-0.0012	FALSE
Patient455	9	Primary-v2	3e-04	0.0016	0.0035	-0.0029	FALSE
Patient455	9	Primary-v3	0.1608	0.0236	0.208	0.1136	FALSE
Patient455	9	Primary-v4	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient455	9	Primary-v5	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient455	9	Primary-v6	0.0582	0.0132	0.0846	0.0318	FALSE
Patient455	9	Primary-v7	0.6511	0.0278	0.7067	0.5955	FALSE
Patient455	9	Primary-v8	5e-04	0.0023	0.0051	-0.0041	FALSE
Patient455	9	Primary-v9	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient457	1	Primary-v1	0.009	0.0135	0.036	-0.018	FALSE
Patient457	1	Primary-v10	0.0057	0.0095	0.0247	-0.0133	FALSE
Patient457	1	Primary-v2	0.0635	0.031	0.1255	0.0015	FALSE
Patient457	1	Primary-v3	0.0064	0.0103	0.027	-0.0142	FALSE
Patient457	1	Primary-v4	0.0043	0.0079	0.0201	-0.0115	FALSE
Patient457	1	Primary-v5	0.0061	0.0103	0.0267	-0.0145	FALSE
Patient457	1	Primary-v6	0.0062	0.0101	0.0264	-0.014	FALSE
Patient457	1	Primary-v7	0.0602	0.0307	0.1216	-0.00120000000000001	FALSE
Patient457	1	Primary-v8	0.005	0.0086	0.0222	-0.0122	FALSE
Patient457	1	Primary-v9	0.2198	0.0526	0.325	0.1146	FALSE
Patient457	2	Primary-v1	0.0031	0.0055	0.0141	-0.0079	FALSE
Patient457	2	Primary-v10	0.0166	0.0086	0.0338	-6e-04	FALSE
Patient457	2	Primary-v2	0.0036	0.0057	0.015	-0.0078	FALSE
Patient457	2	Primary-v3	5e-04	0.0024	0.0053	-0.0043	FALSE
Patient457	2	Primary-v4	0.2908	0.0325	0.3558	0.2258	FALSE
Patient457	2	Primary-v5	0.0791	0.0198	0.1187	0.0395	FALSE
Patient457	2	Primary-v6	0.0107	0.0069	0.0245	-0.0031	FALSE
Patient457	2	Primary-v7	0.0044	0.0061	0.0166	-0.0078	FALSE
Patient457	2	Primary-v8	4e-04	0.002	0.0044	-0.0036	FALSE
Patient457	2	Primary-v9	0.007	0.0066	0.0202	-0.0062	FALSE
Patient457	3	Primary-v1	6e-04	0.0027	0.006	-0.0048	FALSE
Patient457	3	Primary-v10	5e-04	0.0024	0.0053	-0.0043	FALSE
Patient457	3	Primary-v2	0.1824	0.033	0.2484	0.1164	FALSE
Patient457	3	Primary-v3	7e-04	0.0028	0.0063	-0.0049	FALSE
Patient457	3	Primary-v4	5e-04	0.0022	0.0049	-0.0039	FALSE
Patient457	3	Primary-v5	5e-04	0.0024	0.0053	-0.0043	FALSE
Patient457	3	Primary-v6	6e-04	0.0025	0.0056	-0.0044	FALSE
Patient457	3	Primary-v7	5e-04	0.0023	0.0051	-0.0041	FALSE
Patient457	3	Primary-v8	0.5007	0.0503	0.6013	0.4001	FALSE
Patient457	3	Primary-v9	0.4133	0.0449	0.5031	0.3235	FALSE
Patient457	4	Primary-v1	0.1299	0.0181	0.1661	0.0937	FALSE
Patient457	4	Primary-v10	0.3175	0.025	0.3675	0.2675	FALSE
Patient457	4	Primary-v2	0.073	0.0134	0.0998	0.0462	FALSE
Patient457	4	Primary-v3	0.0014	0.0036	0.0086	-0.0058	FALSE
Patient457	4	Primary-v4	0.146	0.0176	0.1812	0.1108	FALSE
Patient457	4	Primary-v5	0.1229	0.0184	0.1597	0.0861	FALSE
Patient457	4	Primary-v6	0.0127	0.0052	0.0231	0.0023	FALSE
Patient457	4	Primary-v7	0.1324	0.0185	0.1694	0.0954	FALSE
Patient457	4	Primary-v8	0.1884	0.0228	0.234	0.1428	FALSE
Patient457	4	Primary-v9	0.093	0.0129	0.1188	0.0672	FALSE
Patient457	5	Primary-v1	0.1598	0.0078	0.1754	0.1442	TRUE
Patient457	5	Primary-v10	0.4096	0.0116	0.4328	0.3864	TRUE
Patient457	5	Primary-v2	0.2361	0.0103	0.2567	0.2155	TRUE
Patient457	5	Primary-v3	0.0196	0.0023	0.0242	0.015	TRUE
Patient457	5	Primary-v4	0.3803	0.0101	0.4005	0.3601	TRUE
Patient457	5	Primary-v5	0.1721	0.0081	0.1883	0.1559	TRUE
Patient457	5	Primary-v6	0.0316	0.0033	0.0382	0.025	TRUE
Patient457	5	Primary-v7	0.1773	0.0081	0.1935	0.1611	TRUE
Patient457	5	Primary-v8	0.6142	0.0124	0.639	0.5894	TRUE
Patient457	5	Primary-v9	0.4436	0.0111	0.4658	0.4214	TRUE
Patient452	1	Primary-v1	0.9486	0.0034	0.9554	0.9418	TRUE
Patient452	1	Primary-v10	0.8562	0.0045	0.8652	0.8472	TRUE
Patient452	1	Primary-v2	0.931	0.0042	0.9394	0.9226	TRUE
Patient452	1	Primary-v3	0.91	0.0035	0.917	0.903	TRUE
Patient452	1	Primary-v4	0.8754	0.0049	0.8852	0.8656	TRUE
Patient452	1	Primary-v5	0.9257	0.005	0.9357	0.9157	TRUE
Patient452	1	Primary-v6	0.8062	0.0041	0.8144	0.798	TRUE
Patient452	1	Primary-v7	0.8164	0.0043	0.825	0.8078	TRUE
Patient452	1	Primary-v8	0.8548	0.005	0.8648	0.8448	TRUE
Patient452	1	Primary-v9	0.8463	0.0044	0.8551	0.8375	TRUE
Patient452	2	Primary-v1	0	0	0	0	FALSE
Patient452	2	Primary-v10	0.0202	0	0.0202	0.0202	FALSE
Patient452	2	Primary-v2	0.0101	1e-04	0.0103	0.0099	FALSE
Patient452	2	Primary-v3	0	0	0	0	FALSE
Patient452	2	Primary-v4	0.1023	0.0035	0.1093	0.0953	FALSE
Patient452	2	Primary-v5	0.0407	0.0018	0.0443	0.0371	FALSE
Patient452	2	Primary-v6	0.5294	0.0069	0.5432	0.5156	FALSE
Patient452	2	Primary-v7	0	0	0	0	FALSE
Patient452	2	Primary-v8	0	0	0	0	FALSE
Patient452	2	Primary-v9	0.3278	0.0063	0.3404	0.3152	FALSE
Patient452	3	Primary-v1	0.4657	0.2252	0.9161	0.0153	FALSE
Patient452	3	Primary-v10	0.4866	0.2245	0.9356	0.0376	FALSE
Patient452	3	Primary-v2	0.4616	0.2266	0.9148	0.00840000000000002	FALSE
Patient452	3	Primary-v3	0.4591	0.2219	0.9029	0.0153	FALSE
Patient452	3	Primary-v4	0.4409	0.2335	0.9079	-0.0261	FALSE
Patient452	3	Primary-v5	0.4798	0.2267	0.9332	0.0264	FALSE
Patient452	3	Primary-v6	0.4317	0.2254	0.8825	-0.0191	FALSE
Patient452	3	Primary-v7	0.4623	0.2259	0.9141	0.0105	FALSE
Patient452	3	Primary-v8	0.4714	0.2251	0.9216	0.0212	FALSE
Patient452	3	Primary-v9	0.4635	0.2309	0.9253	0.00170000000000003	FALSE
Patient452	4	Primary-v1	0.8189	0.0068	0.8325	0.8053	FALSE
Patient452	4	Primary-v10	0.7558	0.009	0.7738	0.7378	FALSE
Patient452	4	Primary-v2	0.0101	0	0.0101	0.0101	FALSE
Patient452	4	Primary-v3	0.0101	1e-04	0.0103	0.0099	FALSE
Patient452	4	Primary-v4	0.7562	0.01	0.7762	0.7362	FALSE
Patient452	4	Primary-v5	0.8661	0.0099	0.8859	0.8463	FALSE
Patient452	4	Primary-v6	0.3794	0.0076	0.3946	0.3642	FALSE
Patient452	4	Primary-v7	0	0	0	0	FALSE
Patient452	4	Primary-v8	0	0	0	0	FALSE
Patient452	4	Primary-v9	0.2025	0.006	0.2145	0.1905	FALSE
Patient452	5	Primary-v1	0	0	0	0	FALSE
Patient452	5	Primary-v10	0	0	0	0	FALSE
Patient452	5	Primary-v2	0.8827	0.0086	0.8999	0.8655	FALSE
Patient452	5	Primary-v3	0.9019	0.008	0.9179	0.8859	FALSE
Patient452	5	Primary-v4	0	0	0	0	FALSE
Patient452	5	Primary-v5	0	0	0	0	FALSE
Patient452	5	Primary-v6	0	0	0	0	FALSE
Patient452	5	Primary-v7	0.7631	0.0074	0.7779	0.7483	FALSE
Patient452	5	Primary-v8	0.833	0.0081	0.8492	0.8168	FALSE
Patient452	5	Primary-v9	0.2418	0.0058	0.2534	0.2302	FALSE
Patient452	6	Primary-v1	0	0	0	0	FALSE
Patient452	6	Primary-v10	0	0	0	0	FALSE
Patient452	6	Primary-v2	1e-04	0.001	0.0021	-0.0019	FALSE
Patient452	6	Primary-v3	0.6859	0.0159	0.7177	0.6541	FALSE
Patient452	6	Primary-v4	0	0	0	0	FALSE
Patient452	6	Primary-v5	0	0	0	0	FALSE
Patient452	6	Primary-v6	0	0	0	0	FALSE
Patient452	6	Primary-v7	0	0	0	0	FALSE
Patient452	6	Primary-v8	0.0104	0.0017	0.0138	0.007	FALSE
Patient452	6	Primary-v9	0	0	0	0	FALSE
Patient452	7	Primary-v1	0.7553	0.0098	0.7749	0.7357	FALSE
Patient452	7	Primary-v10	0	0	0	0	FALSE
Patient452	7	Primary-v2	0	0	0	0	FALSE
Patient452	7	Primary-v3	0	0	0	0	FALSE
Patient452	7	Primary-v4	0.6715	0.0122	0.6959	0.6471	FALSE
Patient452	7	Primary-v5	0.8131	0.0124	0.8379	0.7883	FALSE
Patient452	7	Primary-v6	0.157	0.0068	0.1706	0.1434	FALSE
Patient452	7	Primary-v7	0	0	0	0	FALSE
Patient452	7	Primary-v8	0	0	0	0	FALSE
Patient452	7	Primary-v9	0.0101	0	0.0101	0.0101	FALSE
Patient452	8	Primary-v1	0.3354	0.0287	0.3928	0.278	FALSE
Patient452	8	Primary-v10	0.5884	0.0161	0.6206	0.5562	FALSE
Patient452	8	Primary-v2	0.9355	0.0218	0.9791	0.8919	FALSE
Patient452	8	Primary-v3	0.8946	0.0203	0.9352	0.854	FALSE
Patient452	8	Primary-v4	0.196	0.0181	0.2322	0.1598	FALSE
Patient452	8	Primary-v5	0.0865	0.0101	0.1067	0.0663	FALSE
Patient452	8	Primary-v6	0.5886	0.0124	0.6134	0.5638	FALSE
Patient452	8	Primary-v7	0.8292	0.0218	0.8728	0.7856	FALSE
Patient452	8	Primary-v8	0.844	0.0208	0.8856	0.8024	FALSE
Patient452	8	Primary-v9	0.8528	0.0213	0.8954	0.8102	FALSE
Patient452	9	Primary-v1	0	0	0	0	FALSE
Patient452	9	Primary-v10	0	0	0	0	FALSE
Patient452	9	Primary-v2	0.2944	0.0092	0.3128	0.276	FALSE
Patient452	9	Primary-v3	0	0	0	0	FALSE
Patient452	9	Primary-v4	0.0455	0.0051	0.0557	0.0353	FALSE
